,weight_shap_0_mean,weight_shap_0_std,weight_grad_0_dir_mean,counts,p_value,fold_change,is_deg,is_extra,is_prior_driver,is_target,is_tf
MCM10,1.2757278298136001e-05,4.254114537725538e-05,6.564674999999997e-07,2,0.0001029787265937,1.3083622734531164,True,False,False,True,False
GFAP,2.0201790945929e-05,2.4587731414731227e-05,-1.41077861e-05,2,0.002321281860479,0.4598617666651794,True,False,False,False,False
CEP55,1.2572167960621002e-05,3.830479342341979e-05,-2.2105715000000004e-06,2,1.8309039638951908e-05,1.287916480835051,True,False,False,False,False
GNG7,6.38833216426e-06,0.0,-5.660124e-06,1,0.0006806141685771,0.7546398510012687,True,False,False,False,False
GPR65,6.6138484903229995e-06,0.0,-6.3839037e-06,1,0.0056867379077282,0.7923681989035438,True,False,False,False,False
CD5,6.05491506798e-06,0.0,-7.484738e-06,1,0.0091283805968204,0.7993803555177161,True,False,False,False,False
TFAP2D,8.961601492556e-06,0.0,8.521298e-06,1,0.0032418012519424,0.2327324300739938,True,False,False,False,True
SNCA,5.397974103569e-06,0.0,8.06506e-06,1,0.0180733492046047,1.5287844196768827,True,False,False,False,False
CENPA,7.344491728396e-06,0.0,5.338109e-06,1,0.004045213241699,1.279968042900451,True,False,False,False,True
SLAMF8,6.9000406297579995e-06,0.0,-7.9908414e-06,1,0.0032030999104575,0.8328605892051318,True,False,False,False,False
ABI3,6.216724167635e-06,0.0,-8.769181e-06,1,0.0001456446685297,0.8102826162795946,True,False,False,False,False
SLC2A1,8.975915769255e-06,0.0,-6.922792999999999e-06,1,7.774952636209425e-07,1.2108031224361997,True,False,False,False,False
CD27,7.438742637629e-06,0.0,-8.269726000000001e-06,1,0.0079114051499001,0.7779339802854468,True,False,False,False,False
CDK1,5.824325863774999e-06,0.0,-5.8638246e-06,1,0.0004970240039701,1.2379924635603612,True,False,False,True,False
BRIP1,7.4824905196059995e-06,0.0,3.7499805e-06,1,0.004045213241699,1.229409440341641,True,False,False,False,False
APOBR,7.322555030017999e-06,0.0,-9.636071e-06,1,0.0001256435696189,0.8015066846072058,True,False,False,False,False
PRKD1,8.768924251747e-06,0.0,5.083017e-06,1,0.002523809531961,0.7834148058752756,True,False,False,False,False
FCGR1A,7.086157430846e-06,0.0,-4.050592e-06,1,0.0013046761585034,0.7871618303318277,True,False,False,False,False
CKS1B,6.810415915284e-06,0.0,-5.652697e-06,1,2.9607038181439545e-06,1.239680046627299,True,False,False,True,False
ZNF831,5.330551971287e-06,0.0,-5.299296e-06,1,0.0043677369554106,0.6857700319529795,True,False,False,False,True
MTFR2,7.358963581298999e-06,0.0,5.1977109999999995e-06,1,0.0003440876023425,1.3574497436741508,True,False,False,False,False
CD80,6.874004478059e-06,0.0,-6.987651e-06,1,0.0219516691357686,0.7934415939234476,True,False,False,False,False
LY86,5.969478271683e-06,0.0,-6.7007035000000005e-06,1,0.0016778641377089,0.7390604150595718,True,False,False,False,False
CD28,5.661618821698001e-06,0.0,-4.867811e-06,1,0.0219516691357686,0.8212617748511853,True,False,False,False,False
SYNE1,8.514840383256e-06,0.0,-5.568709e-06,1,6.129859857273494e-08,0.7788992855114315,True,False,False,False,False
SELPLG,7.202986620322e-06,0.0,-6.983212e-06,1,0.0001456446685297,0.8195537296599729,True,False,False,False,False
CCNB2,7.188519732363e-06,0.0,7.8827696e-06,1,3.312136903548156e-05,1.2137587387772446,True,False,False,False,False
CD37,5.133237076422001e-06,0.0,-5.2137434e-06,1,0.0001606051607746,0.82793658422201,True,False,False,False,False
SIT1,5.707693525382e-06,0.0,-7.610165e-06,1,0.0148080054039566,0.7585805832040821,True,False,False,False,False
KDM1A,4.036463668065e-06,0.0,-4.9913119999999995e-06,1,0.25070848310334,1.026384364348456,False,True,False,False,False
BRCA2,6.833691908902999e-06,0.0,5.4107787e-06,1,0.0076287051964954,1.2107572324806744,True,False,False,False,False
CD79B,5.515015817241e-06,0.0,3.6436188e-06,1,0.037110060608599,0.7827582013442916,True,False,False,False,False
STON2,8.642304520594e-06,0.0,4.7398082e-06,1,1.2829277286482288e-07,1.4254006207765546,True,False,False,True,False
TRPM2,9.143782498942001e-06,0.0,-7.262364e-06,1,0.0009256940763316,0.8192354721948326,True,False,False,False,False
AKNA,5.270484269289e-06,0.0,-3.6205945e-06,1,2.9607038181439545e-06,0.8273640507179996,True,False,False,False,True
CDK6,9.227394122925e-06,0.0,6.4647896e-06,1,5.601669047794205e-09,1.3940336388166754,True,False,False,True,False
FAM78A,8.776053135026e-06,0.0,-1.0171304e-05,1,0.000966734927039,0.8097547562652946,True,False,False,False,False
CXCR6,8.084838508658001e-06,0.0,-8.456593e-06,1,0.0016778641377089,0.8026843331250679,True,False,False,False,False
RAD51AP1,8.024438662975e-06,0.0,4.914648e-06,1,0.000650996741427,1.341242235905139,True,False,False,False,False
HGF,8.518415439725e-06,0.0,-8.6857134e-06,1,0.0014194455314265,0.727633095918554,True,False,False,False,False
KIF18A,7.422892152715e-06,0.0,-8.5792947e-06,1,0.0006806141685771,1.3042013579129408,True,False,False,False,False
CACNA2D2,9.591995516681e-06,0.0,5.077149e-06,1,4.5436250342647386e-05,0.5884360719053245,True,False,False,False,False
